Out of Service Date,Common Name,Outage,Equipment Description,Executive Comment,Outage Code,Status,External Source Note,Reason Shown to Public,Reason Shown to Public Description,Estimated Return to Service Date,Actual Return to Service Date,Reference,Source,Service Code,Date Created,Status Code,Outage Comments,Station MRN
2023-01-09 08:15:00,EL362,794236,ELE: EL362 - 912 - CONEY ISLAND YARD - PASSENGER ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-01-09 16:00:00,2023-01-09 13:45:00,,Phone,EE-MANOUT,2023-01-09 08:16:00,CL,"***This unit was removed from service by E&E personnel to perform Preventative Maintenance***
WO5407846
E&EM Grabovsky & E&EH Nesterets arrived to El362 @ 08:05 hrs. Taking machine OOS to perform bimonthly PM.
 E&EM Grabovsky & E&EH Nesterets completed bimonthly PM. RTS @13:45hrs. ",912
2023-01-10 08:03:00,EL150,794726,ELE: EL150 - 918 - 207TH STREET YARD - PASSENGER ELEVATOR,,INS,Closed,,INSPECTION,Inspection,2023-01-10 16:00:00,2023-01-10 10:00:00,,Phone,EE-MANOUT,2023-01-10 08:04:00,CL,"***This elevator is out of service for CAT 1 Inspection***
E&EM Ramharak and Moscoso (QEI C-7002) and E&EH Crawford arrived at 0750 for CAT 1 Inspection. OOS @ 08:03.  
WO # 5408474 E&EM Moscoso report:  Completed Cat 1 Inspection. Passed inspection. Test run. BIS@1000  ",918
2023-01-10 08:20:00,EL355,794728,ELE: EL355 - 912 - CONEY ISLAND YARD - FREIGHT ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-01-10 16:00:00,2023-01-10 13:45:00,,Phone,EE-MANOUT,2023-01-10 08:21:00,CL,"***This elevator is out of service for preventive maintenance***
E&EM Grabovsky & E&EH Nesterets arrived to El362 @ 08:05 hrs. Taking machine OOS to perform bimonthly PM @ 08:20 hrs.

WO # 5407854. E&EM Grabovsky & E&EH Nesterets completed bimonthly PM . RTS @13:45 ",912
2023-01-10 10:05:00,EL151,794817,ELE: EL151 - 918 - 207TH STREET YARD - FREIGHT ELEVATOR,,INS,Closed,,INSPECTION,Inspection,2023-01-10 19:00:00,2023-01-10 12:05:00,,Phone,EE-MANOUT,2023-01-10 10:08:00,CL,"***This elevator is out of service for CAT1 Inspection***


E&EM Moscoso QEI C-7002 Ramharak and E&EH Crawford taking machine OOS for Cat 1 inspection. WO#5408475 E&EM Moscoso report:  Completed inspection, passed. Test run BIS@1205  ",918
2023-01-11 07:57:00,EL153,795130,ELE: EL153 - 918 - 207TH STREET YARD - FREIGHT ELEVATOR,,BRP,Closed,,UNDERINVESTG,Under Investigation,2023-01-11 16:00:00,2023-01-11 10:30:00,,Phone,EE-MANOUT,2023-01-11 07:57:00,CL,,918
2023-01-11 08:15:00,EL152,795134,ELE: EL152 - 918 - 207TH STREET YARD - FREIGHT ELEVATOR,,INS,Closed,,INSPECTION,Inspection,2023-01-11 17:00:00,2023-01-11 09:45:00,,Phone,EE-MANOUT,2023-01-11 08:16:00,CL,"***This elevator is out of service for CAT1 Inspection***


E&EM Moscoso QEI C-7002 Ramharak and E&EH Crawford taking machine OOS for Cat 1 inspection.  E&EM Moscoso report:  Completed Cat 1 inspection. Passed. Test run BIS@0945  ",918
2023-01-11 08:30:00,EL354,795141,ELE: EL354 - 912 - CONEY ISLAND YARD - STREET TO 1ST & 2ND FLOOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-01-11 17:00:00,2023-01-11 13:50:00,,Phone,EE-MANOUT,2023-01-11 08:33:00,CL,"***This elevator is out of service for preventive maintenance***


E&EM Grabovsky & E&EH Nesterets taking machine OOS to perform bimonthly PM @ 08:30 hrs.  E&EM Grabovsky & E&EH Nesterets completed bimonthly PM. RTS @13:50 ",912
2023-01-11 10:35:00,EL153,795186,ELE: EL153 - 918 - 207TH STREET YARD - FREIGHT ELEVATOR,,INS,Closed,,INSPECTION,Inspection,2023-01-11 16:00:00,2023-01-11 12:05:00,,Phone,EE-MANOUT,2023-01-11 10:52:00,CL,"***This elevator is out of service for cat 1 inspection***
E&EM Moscoso QEI C-7002 Ramharak and E&EH Crawford arrived at 1035. Taking machine OOS for cat 1 inspection.
WO # 5408477. Completed Cat 1 inspection. Passed. Test run BIS@1205 ",918
2023-01-11 13:30:00,EL252,795223,ELE: EL252 - 957 - 333 W53 St - PASSENGER ELEVATOR,,BRP,Closed,,REPAIR,Repair,2023-01-11 22:00:00,2023-01-11 14:00:00,,Phone,EE-MANOUT,2023-01-11 13:43:00,CL,E&EH Habib found machine OOS ,957
2023-01-12 07:49:00,EL350,795579,ELE: EL350 - 913 - EAST NEW YORK YARD - PASSENGER ELEVATOR,,INS,Closed,,INSPECTION,Inspection,2023-01-12 16:00:00,2023-01-12 11:02:00,,Phone,EE-MANOUT,2023-01-12 07:49:00,CL,"***This unit was removed from service by E&E personnel to perform inspection***

 WO5408467

E&EM Moscoso QEI C-7002 Ramharak and E&EH Crawford arrived at 0740. Taking machine OOS for cat 1 inspection.
 E&EM Moscoso QEI C-7002 Ramharak and E&EH Crawford completed Cat 1 inspection. Failed inspection due I failing drift test. Found excessive oil in pit leaking from pistons. Notified Superintendent Lema. LOTO LOOS. Sign posted 1/16/23. Notified MS1 Torres. INS outage closed @ 11:02. IRP outage opened @ 11:03. ",913
2023-01-12 08:10:00,EL252,795585,ELE: EL252 - 957 - 333 W53 St - PASSENGER ELEVATOR,,BRP,Closed,,REPAIR,Repair,2023-01-12 17:00:00,2023-01-12 12:00:00,,Phone,EE-MANOUT,2023-01-12 08:12:00,CL,,957
2023-01-12 09:37:00,EL361,795607,ELE: EL361 - 912 - CONEY ISLAND YARD - PASSENGER ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-01-12 18:00:00,2023-01-12 14:00:00,,Phone,EE-MANOUT,2023-01-12 09:38:00,CL,"***This unit was removed from service for maintenance ***

 WO5407845

E&EM Grabovsky & E&EH Nesterets arrived to El361 @ 09:30 hrs. Taking machine OOS to perform bimonthly PM @ 09:37 hrs. E&EM Grabovsky & E&EH Nesterets completed bimonthly PM. RTS @14:00 ",912
2023-01-12 11:03:00,EL350,795644,ELE: EL350 - 913 - EAST NEW YORK YARD - PASSENGER ELEVATOR,,IRP,Closed,,REPAIR,Repair,2023-01-20 23:00:00,2023-01-20 14:07:00,,Phone,EE-MANOUT,2023-01-12 11:08:00,CL,,913
2023-01-12 11:04:00,EL352,795641,ELE: EL352 - 704 - ENY DEPOT - FREIGHT ELEVATOR,,INS,Closed,,INSPECTION,Inspection,2023-01-12 20:00:00,2023-01-12 12:30:00,,Phone,EE-MANOUT,2023-01-12 11:05:00,CL,"***This unit was removed from service by E&E personnel to perform inspection***

 WO5408478

E&EM Moscoso QEI C-7002 Ramharak and E&EH Crawford arrived at 1040. Taking machine OOS for Cat 1 inspection.
 Completed cat 1 inspection. Passed inspection. test run BIS@1230 ",704
2023-01-13 22:45:00,EL361,796325,ELE: EL361 - 912 - CONEY ISLAND YARD - PASSENGER ELEVATOR,,INS,Closed,,INSPECTION,Inspection,2023-01-14 06:00:00,2023-01-14 02:55:00,,Phone,EE-MANOUT,2023-01-13 22:46:00,CL,"***This Elevator is out for Cat 1 inspection ***


E&EM Moscoso QEI C-7002 and Ramreddy arrived at 2240. Taking machine OOS for cat 1 inspection.

WO#5408468 Completed cat 1 inspection. Passed test run good BIS@0255 ",912
2023-01-16 22:35:00,EL451,797198,ELE: EL451 - 921 - JAMAICA YARD - FREIGHT ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-01-17 06:00:00,2023-01-17 03:15:00,,Phone,EE-MANOUT,2023-01-16 22:38:00,CL,"***This Elevator is out of service for Bi-monthly Maintenance ***


E&EM Haupt, Graff arrive to perform bi-monthly maintenance 22:30
WO#5407848 E&EM Haupt, Graff complete bi-monthly maintenance…Bis 3:15 ",921
2023-01-17 08:03:00,EL252,797426,ELE: EL252 - 957 - 333 W53 St - PASSENGER ELEVATOR,,BRP,Closed,,REPAIR,Repair,2023-01-25 17:00:00,2023-01-24 03:00:00,,Phone,EE-MANOUT,2023-01-17 08:04:00,CL,,957
2023-01-17 08:35:00,EL356,797435,ELE: EL356 - 912 - CONEY ISLAND YARD - PASSENGER ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-01-17 16:00:00,2023-01-17 13:45:00,,Phone,EE-MANOUT,2023-01-17 08:40:00,CL,"***This unit was removed from service by E&E personnel to perform Preventative Maintenance***
WO5407843


E&EMs Grabovsky & Lyakhovetskiy and E&EH Nesterets arrived to El356 @ 08:28 hrs. Taking machine OOS to perform bimonthly PM @ 08:35 hrs.
 E&EMs Grabovsky & Lyakhovetskiy and E&EH Nesterets completed bimonthly PM.  RTS @13:45 ",912
2023-01-17 10:45:00,EL162,797535,ELE: EL162 - 905 - EAST 180 ST / INSP SHOP - FREIGHT ELEVATOR,,AP,Closed,,PLANNEDWORK,Planned Work,2023-01-17 16:00:00,2023-01-17 12:35:00,,Phone,EE-MANOUT,2023-01-17 10:52:00,CL,***E&EM Patterson/Encarnacion removed the elevator from service to provide A&P for EMD to work on communications*** E&EM Patterson and Encarnacion gave A&P to EMD telephone working on the in car communication. EMD traced phone wire to under car junction box. There they found corroded connection. They repaired wire connection. Now there is a dial tone and were able to place a call out. Receiving operator was not able to hear anyone. EMD needs a part and will return at later time to install. Test ran elevator. Returning to service at 12:35. ,905
2023-01-17 11:00:00,EL162,797529,ELE: EL162 - 905 - EAST 180 ST / INSP SHOP - FREIGHT ELEVATOR,,UPO,Cancelled,,PLANNEDWORK,Planned Work,2023-01-17 19:00:00,,,Phone,EE-MANOUT,2023-01-17 10:41:00,C,,905
2023-01-19 09:30:00,EL153,798541,ELE: EL153 - 918 - 207TH STREET YARD - FREIGHT ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-01-19 18:00:00,2023-01-19 14:35:00,,Phone,EE-MANOUT,2023-01-19 09:39:00,CL,"***This elevator is out of service for preventive maintenance***



E&EM Lazariev and E&EM M.Garcia taking unit OOS for Bimonthly maintenance at 09:30 hours. WO#5407851 E&EM Lazariev and E&EM M. Garcia completed Bimonthly maintenance. BIS @ 14:35. ",918
2023-01-19 09:35:00,EL365,798538,ELE: EL365 - 894 - LINDEN SHOP - FREIGHT ELEVATOR,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-01-19 16:00:00,2023-01-19 13:25:00,,Phone,EE-MANOUT,2023-01-19 09:38:00,CL,,894
2023-01-20 09:17:00,EL365,798923,ELE: EL365 - 894 - LINDEN SHOP - FREIGHT ELEVATOR,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-01-20 16:00:00,2023-01-20 13:25:00,,Phone,EE-MANOUT,2023-01-20 09:17:00,CL,,894
2023-01-22 08:51:00,EL362,799552,ELE: EL362 - 912 - CONEY ISLAND YARD - PASSENGER ELEVATOR,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-01-22 15:00:00,2023-01-22 13:10:00,,Phone,EE-MANOUT,2023-01-22 08:51:00,CL,,912
2023-01-24 08:00:00,EL362,800519,ELE: EL362 - 912 - CONEY ISLAND YARD - PASSENGER ELEVATOR,,INS,Closed,,INSPECTION,Inspection,2023-01-24 16:00:00,2023-01-24 13:00:00,,Phone,EE-MANOUT,2023-01-24 08:04:00,CL,"***This Elevator is out for Cat 1 inspection ***


E&EMs Stewart, Rivas and E&EH Crawford here for ASME CAT1 inspection.
WO#5408469


 E&EH Crawford: ASME CAT1 inspection completed, machine passed inspection. Test ran RTS @1300 ",912
2023-01-26 10:50:00,EL155,801784,ELE: EL155 - 918 - 207TH STREET YARD - FREIGHT ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-01-26 20:00:00,2023-01-26 14:55:00,,Phone,EE-MANOUT,2023-01-26 10:51:00,CL,"***This Elevator is out of service for Bi-monthly Maintenance ***


E&EM Garcia/E&EM D'oley on-site at 1010H for by-monthly pm.

WO#5407852



 E&EM Garcia/D'oley complet PM test run RTS 1455 ",918
2023-01-27 07:25:00,EL163,802231,ELE: EL163 - 906 - JEROME YARD - FREIGHT ELEVATOR,,INS,Closed,,INSPECTION,Inspection,2023-01-27 16:00:00,2023-01-27 11:30:00,,Phone,EE-MANOUT,2023-01-27 07:26:00,CL,"***This elevator is out of service for ASME CAT1 inspection***
E&EMs Stewart, Rivas and E&EH Crawford here for ASME CAT1 inspection. WO # 5408466. ASME CAT1 inspection complete, machine passed inspection. Test ran RTS @1130 ",906
2023-01-28 01:45:00,EL251,802609,ELE: EL251 - 958 - 126 W53 St - PASSENGER ELEVATOR,,BRP,Closed,,REPAIR,Repair,2023-01-28 23:00:00,2023-01-28 10:50:00,,Phone,EE-MANOUT,2023-01-28 01:47:00,CL,,958
2023-01-29 08:25:00,EL366,802955,ELE: EL366 - 961 - PS 248 - PARKING LOT TO 4TH FLOOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-01-29 16:00:00,2023-01-29 13:15:00,,Phone,EE-MANOUT,2023-01-29 08:27:00,CL,"***This unit was removed from service by E&E personnel to perform Preventative Maintenance***
WO5676855


E&EM Grabovsky & E&EH Nesterets arrived at El366 @ 08:15 hrs. Taking machine OOS to perform bimonthly PM @ 08:25 hrs.
 E&EM Grabovsky & E&EH Nesterets completed bimonthly PM. BIS @ 13:15. ",961
2023-01-29 23:45:00,EL163,803048,ELE: EL163 - 906 - JEROME YARD - FREIGHT ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-01-30 07:00:00,2023-01-30 04:40:00,,Phone,EE-MANOUT,2023-01-29 23:45:00,CL,"***This elevator is out of service for entrapment investigation***

E&EM Tejsingh and E&EH Clarke arrived at 2330. Here for bi-monthly maintenance. OOS @ 23:45. WO # 5407841. E&EM Tejsingh and E&EH Clarke completed bi-monthly maintenance. BIS @ 04:40. ",906
2023-01-30 07:48:00,EL367,803135,ELE: EL367 - 955 - COZINE IRONSHOP - PASSENGER ELEVATOR,,INS,Closed,,INSPECTION,Inspection,2023-01-30 16:00:00,2023-01-30 13:30:00,,Phone,EE-MANOUT,2023-01-30 07:50:00,CL,"***This elevator is out of service for CAT1 inspection***
E&EM Stewart and E&EH Hunte arrived for CAT1 inspection. WO # 5681568. CAT1 inspection passed, test ran and monitor operation. BIS 0130 ",955
2023-01-30 09:54:00,EL354,803191,ELE: EL354 - 912 - CONEY ISLAND YARD - STREET TO 1ST & 2ND FLOOR,,MRP,Closed,,PLANNEDWORK,Planned Work,2023-01-30 16:00:00,2023-01-30 11:10:00,,Phone,EE-MANOUT,2023-01-30 09:54:00,CL,,912
2023-01-31 00:36:00,EL165,803445,ELE: EL165 - 902 - 239TH STREET YARD - FREIGHT ELEVATOR,,FR,Closed,,REPAIR,Repair,2023-01-31 07:00:00,2023-01-31 02:45:00,,Phone,EE-MANOUT,2023-01-31 00:36:00,CL,,902
2023-01-31 08:15:00,EL458,803613,ELE: EL458 - 965 - FREIGHT ELEVATOR AT WOODSIDE EMD,,INS,Closed,,INSPECTION,Inspection,2023-01-31 16:00:00,2023-01-31 12:00:00,,Phone,EE-MANOUT,2023-01-31 08:19:00,CL,"***This unit was removed from service by E&E personnel to perform inspection***


WO5681569
E&EM Stewart, Rivas and E&EH Crawford here for ASME CAT1 inspection.
 E&EH Crawford: ASME CAT1 inspection complete, machine passed inspection. Test ran RTS 1200 ",965
2023-02-01 00:48:00,EL165,803887,ELE: EL165 - 902 - 239TH STREET YARD - FREIGHT ELEVATOR,,BRP,Closed,,REPAIR,Repair,2023-02-01 07:00:00,2023-02-01 04:40:00,,Phone,EE-MANOUT,2023-02-01 00:49:00,CL,,902
2023-02-01 07:35:00,EL173,803984,ELE: EL173 - 905 - EAST 180 ST / INSP SHOP - 3 LANDINGS,,INS,Closed,,INSPECTION,Inspection,2023-02-01 16:00:00,2023-02-01 12:30:00,,Phone,EE-MANOUT,2023-02-01 07:35:00,CL,"***This elevator is out of service for CAT1 Inspection***



E&EMs Stewart, Rivas and E&EH Crawford taking unit OOS for ASME CAT1 inspection.  WO#5677350 (EAM) E&EH Crawford: ASME CAT1 inspection complete, machine passed inspection. Test ran RTS @1230 ",905
2023-02-01 09:25:00,EL352,804037,ELE: EL352 - 704 - ENY DEPOT - FREIGHT ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-02-01 18:00:00,2023-02-01 13:05:00,,Phone,EE-MANOUT,2023-02-01 09:33:00,CL,"***This elevator is out of service for preventive maintenance***



E&EM Grabovsky and E&EM Lyakhovetskiy taking unit OOS for bimonthly PM. WO#5676864 E&EM Grabovsky and E&EM Lyakhovetskiy completed bimonthly PM. BIS @ 13:05. ",704
2023-02-02 07:39:00,EL251,804402,ELE: EL251 - 958 - 126 W53 St - PASSENGER ELEVATOR,,INS,Cancelled,,INSPECTION,Inspection,2023-02-02 16:00:00,,,Phone,EE-MANOUT,2023-02-02 07:40:00,C,"***This elevator is out of service for Cat 1 inspection***
E&EM Moscoso QEI C-7002 Ramreddy, Rivas and E&EH Crawford arrived at 0730. Taking machine OOS for Cat 1 inspection.
OOS @ 07:39. WO # 5677355. Outage was reported in error. E&EMs are working on EL451 under WO # 5677353. ",958
2023-02-02 07:39:00,EL451,804469,ELE: EL451 - 921 - JAMAICA YARD - FREIGHT ELEVATOR,,INS,Closed,,INSPECTION,Inspection,2023-02-02 13:00:00,2023-02-02 12:00:00,,Phone,EE-MANOUT,2023-02-02 12:19:00,CL,"
E&EM Moscoso C-7002 and Ramreddy Rivas and E&EH Crawford arrived at 0720. Taking machine OOS for cat 1 at 0739	
Created: 02/02/2023 12:09
Moscoso, Lisette (1258718)
Completed Cat 1 inspection. Passed inspection. Test run BIS@1200	
Created: 02/02/2023 12:09
Moscoso, Lisette (1258718) WO # 5677353 ",921
2023-02-02 10:10:00,EL363,804442,ELE: EL363 - 910 - 38TH STREET YARD - FREIGHT ELEVATOR,,LTR,Closed,,PLANNEDWORK,Planned Work,2023-02-17 23:00:00,2023-02-10 12:30:00,,Phone,EE-MANOUT,2023-02-02 10:10:00,CL,,910
2023-02-03 07:38:00,EL400,804826,ELE: EL400 - 904 - CORONA YARD - SIGNAL TOWER,,INS,Closed,,INSPECTION,Inspection,2023-02-03 16:00:00,2023-02-03 12:00:00,,Phone,EE-MANOUT,2023-02-03 07:38:00,CL,"***This elevator is out of service for ASME CAT1 inspection***
E&EMs Moscoso, Ramreddy and E&EH Crawford here for ASME CAT1 inspection. OOS @ 07:38. WO # 5677352. E&EM Moscoso report:  Completed CAT1 Inspection, passed test run BIS@1200. ",904
2023-02-03 08:46:00,EL360,804851,ELE: EL360 - 912 - CONEY ISLAND YARD - PASSENGER ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-02-03 16:00:00,2023-02-03 13:30:00,,Phone,EE-MANOUT,2023-02-03 08:49:00,CL,"***This elevator is out of service for preventive maintenance***
E&EM Lyakhovetskiy and E&EH He arrived at el 360, here for bimonthly PM. OOS @ 08:46. WO # 5676852. E&EM Lyakhovetskiy and E&EH He completed bimonthly PM. RTS @13:30 ",912
2023-02-03 09:00:00,EL152,804856,ELE: EL152 - 918 - 207TH STREET YARD - FREIGHT ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-02-03 16:00:00,2023-02-03 12:50:00,,Phone,EE-MANOUT,2023-02-03 09:05:00,CL,"***This unit was removed from service by E&E personnel to perform Preventative Maintenance***

WO5676861


E&EM DeMonico and E&EH Villegas arrived at 0800 for bimonthly pm
 E&EM DeMonico and E&EH Villegas completed bimonthly PM. RTS @12:50 ",918
2023-02-03 09:35:00,EL353,804868,ELE: EL353 - 704 - ENY DEPOT - FREIGHT ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-02-03 18:00:00,2023-02-03 12:15:00,,Phone,EE-MANOUT,2023-02-03 09:36:00,CL,"***This elevator is out of service for preventive maintenance***


E&EM Liu76 and E&EH Bhagwandeen and TEA Wandaogo taking unit OOS for bimonthly PM.  WO#5676865
 (EAM)  E&EH Bhagwandeen: Completed bimonthly PM, BIS @1215 ",704
2023-02-03 09:45:00,EL151,804873,ELE: EL151 - 918 - 207TH STREET YARD - FREIGHT ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-02-03 18:00:00,2023-02-03 14:40:00,,Phone,EE-MANOUT,2023-02-03 09:45:00,CL,"***This elevator is out of service for preventive maintenance***



E&EMs Ellison and Lazariev taking unit OOS to perform Bi-monthly PM  WO#5676860 E&EMs Ellison and Lazariev completed Bi-monthly PM.  RTS @14:40  ",918
2023-02-06 07:30:00,EL459,805790,"ELE: EL459 - 904 - CORONA YARD - S, LM, AND UM",,INS,Closed,,INSPECTION,Inspection,2023-02-06 16:00:00,2023-02-06 13:50:00,,Phone,EE-MANOUT,2023-02-06 07:31:00,CL,"***This Elevator is out for Cat 1 inspection ***


E&EMs Stewart, Rivas and E&EH Crawford here for ASME CAT1 inspection. Third party inspector Camacho on site.

WO#5677354 ",904
2023-02-06 08:50:00,EL364,805800,ELE: EL364 - 910 - 38TH STREET YARD - PASSENGER ELEVATOR,,PM,Closed,,MAINTENANCE,Maintenance,2023-02-06 16:00:00,2023-02-06 13:15:00,,Phone,EE-MANOUT,2023-02-06 08:52:00,CL,"***This elevator is out of service for preventive maintenance***
E&EM Grabovsky & E&EH Nesterets arrived to El364 @ 08:40 hrs. Taking machine OOS to perform bimonthly PM @ 08:50 hrs. (EAM) E&EH Nesterets: Bimonthly PM completed. B.I.S. @ 13:15 hrs. ",910
2023-02-06 13:51:00,EL459,805852,"ELE: EL459 - 904 - CORONA YARD - S, LM, AND UM",,BRP,Closed,,REPAIR,Repair,2023-02-08 15:00:00,2023-02-07 02:30:00,,Phone,EE-MANOUT,2023-02-06 13:54:00,CL,,904
2023-02-07 07:30:00,EL251,806131,ELE: EL251 - 958 - 126 W53 St - PASSENGER ELEVATOR,,INS,Closed,,INSPECTION,Inspection,2023-02-07 16:00:00,2023-02-07 12:00:00,,Phone,EE-MANOUT,2023-02-07 07:32:00,CL,"***This elevator is out of service for CAT1 Inspection***



E&EMs Stewart, Rivas and E&EH Crawford here for ASME CAT1 inspection. Third party inspector Ray Camacho on site.  WO#5677355 (EAM) E&EH Crawford: ASME CAT1 inspection completed, machine passed inspection. Test ran RTS @1200 ",958
2023-02-07 10:20:00,EL350,806188,ELE: EL350 - 913 - EAST NEW YORK YARD - PASSENGER ELEVATOR,,INS,Closed,,INSPECTION,Inspection,2023-02-07 19:00:00,2023-02-07 11:30:00,,Phone,EE-MANOUT,2023-02-07 10:21:00,CL,"***This unit was removed from service by E&E personnel to perform re-inspection***
WO5786593
E&EMs Gassan, Konovalov and TEA Mendez arrived at 10:15 for CAT1 reinspection of the drift test.

 Upon arrival checked drift test distance , found with open shut off valve drifting is 1+1/4"" and with closed shut off valve ( there is only one shut off in the motor roof) drifting is 3/8"" (  probably internal leaks of the valve body. The valve body and data tag pictures attached to W/O-documents). Notified ms1 Brunetti. Test run, Ok. BIS at 11:30. ",913
2023-02-08 06:20:00,EL162,806633,ELE: EL162 - 905 - EAST 180 ST / INSP SHOP - FREIGHT ELEVATOR,,BRP,Closed,,UNDERINVESTG,Under Investigation,2023-02-08 15:00:00,2023-02-08 10:00:00,,Phone,EE-MANOUT,2023-02-08 06:22:00,CL,,905
2023-02-08 07:22:00,EL353,806651,ELE: EL353 - 704 - ENY DEPOT - FREIGHT ELEVATOR,,INS,Closed,,INSPECTION,Inspection,2023-02-08 16:00:00,2023-02-08 12:30:00,,Phone,EE-MANOUT,2023-02-08 07:23:00,CL,"***This escalator is out of service for ASME CAT1 inspection***
WO # 5677357
E&EMs Stewart, Rivas and E&EH Crawford here for ASME CAT1 inspection. Third party inspector Ray Camacho on site.  ASME CAT1 inspection complete, machine passed inspection. Test ran RTS @1230 ",704
