GEOID,Out of Service Date,Common Name,Outage,Equipment Description,Executive Comment,outage_code,Status,External Source Note,Reason Shown to Public,Reason Shown to Public Description,Estimated Return to Service Date,Actual Return to Service Date,Reference,Source,Service Code,Date Created,Status Code,Outage Comments,Station MRN,Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,lat,long,North Direction Label,South Direction Label,ADA,ADA Notes,Georeference,STATE,COUNTY,TRACT,BLOCK,NAME,geometry,population_estimate,sub_pop_estimate,amb_pop_estimate,med_earn_estimate,population_moe,sub_pop_moe,amb_pop_moe,med_earn_moe,external,downtime
36005011900.0,2023-04-12 10:58:00+00:00,EL196,831686.0,ELE: EL196 - 371 - Hunts Point Av,,FR,Cancelled,No Communications on Modbus,UNDERINVESTG,Under Investigation,2023-04-12 19:00:00+00:00,,ST230412.txt - 1592,External Monitoring System,EE-LNOUT,2023-04-12 11:07:00+00:00,C,E&E LIFTNET team (Cheung) is on site working on the system,371.0,371.0,371.0,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1.0,,POINT (-73.890549 40.820948),36.0,005,011900,1002.0,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193.0,1312.0,5690.0,32007.0,1055.0,466.0,969.0,6069.0,False,
36005011900.0,2023-04-14 10:48:00+00:00,EL196,832564.0,ELE: EL196 - 371 - Hunts Point Av,,FR,Cancelled,No Communications on Modbus,UNDERINVESTG,Under Investigation,2023-04-14 19:00:00+00:00,,ST230414.txt - 1124,External Monitoring System,EE-LNOUT,2023-04-14 10:57:00+00:00,C,As per E&EM Krayniy elevator is running. They are working on Lift-Net,371.0,371.0,371.0,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1.0,,POINT (-73.890549 40.820948),36.0,005,011900,1002.0,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193.0,1312.0,5690.0,32007.0,1055.0,466.0,969.0,6069.0,False,
36005011900.0,2023-06-18 10:14:00+00:00,EL197,884668.0,ELE: EL197 - 371 - Hunts Point Av,,FR,Cancelled,DOOR CLOSING/FRONT POS MONITOR FAILURE,UNDERINVESTG,Under Investigation,2023-06-18 19:00:00+00:00,,ST230618.txt - 765,External Monitoring System,EE-LNOUT,2023-06-18 10:24:00+00:00,C,As per Liftnet machine is running.,371.0,371.0,371.0,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1.0,,POINT (-73.890549 40.820948),36.0,005,011900,1002.0,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193.0,1312.0,5690.0,32007.0,1055.0,466.0,969.0,6069.0,False,
36005011900.0,2023-05-11 11:24:00+00:00,EL195,855095.0,ELE: EL195 - 371 - Hunts Point Av,,FR,Cancelled,Front Safety Edge Failure,UNDERINVESTG,Under Investigation,2023-05-11 20:00:00+00:00,,ST230511.txt - 1776,External Monitoring System,EE-LNOUT,2023-05-11 11:35:00+00:00,C,Fault cleared on LIFTNET Legacy @1134 hrs.,371.0,371.0,371.0,613,IRT,Pelham,Hunts Point Av,Bx,6,Subway,40.820948,-73.890549,Pelham Bay Park,Manhattan,1.0,,POINT (-73.890549 40.820948),36.0,005,011900,1002.0,"Census Tract 119, Bronx County, New York","list(list(c(-73.892005, -73.89139, -73.890586, -73.88965, -73.888711, -73.886613, -73.887074, -73.88797, -73.889301, -73.889646, -73.890824, -73.891615, -73.892005, 40.824723, 40.824941, 40.825082, 40.825136, 40.825181, 40.825329, 40.823307, 40.82226, 40.821432, 40.821205, 40.820307, 40.820985, 40.824723)))",6193.0,1312.0,5690.0,32007.0,1055.0,466.0,969.0,6069.0,False,
36005015900.0,2023-02-13 20:23:00+00:00,EL128,808561.0,ELE: EL128 - 430 - Simpson St,,UNI,Cancelled,Rear Safety Edge Failure,UNDERINVESTG,Under Investigation,2023-02-14 05:00:00+00:00,,ST230213.txt - 2344,External Monitoring System,EE-LNOUT,2023-02-13 20:31:00+00:00,C,As per Legacy in service,430.0,430.0,430.0,217,IRT,Lenox - White Plains Rd,Simpson St,Bx,2 5,Elevated,40.824073,-73.893064,Wakefield - Eastchester,Manhattan,1.0,,POINT (-73.893064 40.824073),36.0,005,015900,1001.0,"Census Tract 159, Bronx County, New York","list(list(c(-73.895861, -73.893901, -73.8932, -73.892005, -73.891615, -73.892836, -73.893874, -73.895881, -73.895861, 40.822631, 40.823643, 40.824008, 40.824723, 40.820985, 40.820974, 40.820979, 40.820992, 40.822631)))",2164.0,328.0,2132.0,28611.0,562.0,135.0,563.0,23675.0,False,
36005015900.0,2023-05-22 09:49:00+00:00,EL128,873984.0,ELE: EL128 - 430 - Simpson St,,FR,Cancelled,Drive Fault,UNDERINVESTG,Under Investigation,2023-05-22 18:00:00+00:00,,ST230522.txt - 1395,External Monitoring System,EE-LNOUT,2023-05-22 09:59:00+00:00,C,As per Liftnet Galaxy Client machine is running.,430.0,430.0,430.0,217,IRT,Lenox - White Plains Rd,Simpson St,Bx,2 5,Elevated,40.824073,-73.893064,Wakefield - Eastchester,Manhattan,1.0,,POINT (-73.893064 40.824073),36.0,005,015900,1001.0,"Census Tract 159, Bronx County, New York","list(list(c(-73.895861, -73.893901, -73.8932, -73.892005, -73.891615, -73.892836, -73.893874, -73.895881, -73.895861, 40.822631, 40.823643, 40.824008, 40.824723, 40.820985, 40.820974, 40.820979, 40.820992, 40.822631)))",2164.0,328.0,2132.0,28611.0,562.0,135.0,563.0,23675.0,False,
36005015900.0,2023-01-06 23:00:00+00:00,EL127,789426.0,ELE: EL127 - 430 - Simpson St,,UPO,Cancelled,,MAINTENANCE,Maintenance,2023-01-07 05:00:00+00:00,,,External Monitoring System,EE-MANOUT,2022-12-27 03:57:00+00:00,C,,430.0,430.0,430.0,217,IRT,Lenox - White Plains Rd,Simpson St,Bx,2 5,Elevated,40.824073,-73.893064,Wakefield - Eastchester,Manhattan,1.0,,POINT (-73.893064 40.824073),36.0,005,015900,1001.0,"Census Tract 159, Bronx County, New York","list(list(c(-73.895861, -73.893901, -73.8932, -73.892005, -73.891615, -73.892836, -73.893874, -73.895881, -73.895861, 40.822631, 40.823643, 40.824008, 40.824723, 40.820985, 40.820974, 40.820979, 40.820992, 40.822631)))",2164.0,328.0,2132.0,28611.0,562.0,135.0,563.0,23675.0,False,
36005015900.0,2023-05-18 17:16:00+00:00,EL128,868196.0,ELE: EL128 - 430 - Simpson St,,UNI,Cancelled,Drive Fault,UNDERINVESTG,Under Investigation,2023-05-19 02:00:00+00:00,,ST230518.txt - 3147,External Monitoring System,EE-LNOUT,2023-05-18 17:26:00+00:00,C,as per New Server this elevator running,430.0,430.0,430.0,217,IRT,Lenox - White Plains Rd,Simpson St,Bx,2 5,Elevated,40.824073,-73.893064,Wakefield - Eastchester,Manhattan,1.0,,POINT (-73.893064 40.824073),36.0,005,015900,1001.0,"Census Tract 159, Bronx County, New York","list(list(c(-73.895861, -73.893901, -73.8932, -73.892005, -73.891615, -73.892836, -73.893874, -73.895881, -73.895861, 40.822631, 40.823643, 40.824008, 40.824723, 40.820985, 40.820974, 40.820979, 40.820992, 40.822631)))",2164.0,328.0,2132.0,28611.0,562.0,135.0,563.0,23675.0,False,
36005015900.0,2023-05-18 13:22:00+00:00,EL128,867885.0,ELE: EL128 - 430 - Simpson St,,FR,Cancelled,Drive Fault,UNDERINVESTG,Under Investigation,2023-05-18 22:00:00+00:00,,ST230518.txt - 2114,External Monitoring System,EE-LNOUT,2023-05-18 13:32:00+00:00,C,As per Galaxy Client elevator running,430.0,430.0,430.0,217,IRT,Lenox - White Plains Rd,Simpson St,Bx,2 5,Elevated,40.824073,-73.893064,Wakefield - Eastchester,Manhattan,1.0,,POINT (-73.893064 40.824073),36.0,005,015900,1001.0,"Census Tract 159, Bronx County, New York","list(list(c(-73.895861, -73.893901, -73.8932, -73.892005, -73.891615, -73.892836, -73.893874, -73.895881, -73.895861, 40.822631, 40.823643, 40.824008, 40.824723, 40.820985, 40.820974, 40.820979, 40.820992, 40.822631)))",2164.0,328.0,2132.0,28611.0,562.0,135.0,563.0,23675.0,False,
36005015900.0,2023-05-28 19:03:00+00:00,EL128,876707.0,ELE: EL128 - 430 - Simpson St,,FR,Cancelled,Drive Fault,UNDERINVESTG,Under Investigation,2023-05-29 04:00:00+00:00,,ST230528.txt - 2575,External Monitoring System,EE-LNOUT,2023-05-28 19:13:00+00:00,C,,430.0,430.0,430.0,217,IRT,Lenox - White Plains Rd,Simpson St,Bx,2 5,Elevated,40.824073,-73.893064,Wakefield - Eastchester,Manhattan,1.0,,POINT (-73.893064 40.824073),36.0,005,015900,1001.0,"Census Tract 159, Bronx County, New York","list(list(c(-73.895861, -73.893901, -73.8932, -73.892005, -73.891615, -73.892836, -73.893874, -73.895881, -73.895861, 40.822631, 40.823643, 40.824008, 40.824723, 40.820985, 40.820974, 40.820979, 40.820992, 40.822631)))",2164.0,328.0,2132.0,28611.0,562.0,135.0,563.0,23675.0,False,
36005015900.0,2023-05-25 10:30:00+00:00,EL128,875476.0,ELE: EL128 - 430 - Simpson St,,FR,Cancelled,Drive Fault,UNDERINVESTG,Under Investigation,2023-05-25 19:00:00+00:00,,ST230525.txt - 1505,External Monitoring System,EE-LNOUT,2023-05-25 10:41:00+00:00,C,,430.0,430.0,430.0,217,IRT,Lenox - White Plains Rd,Simpson St,Bx,2 5,Elevated,40.824073,-73.893064,Wakefield - Eastchester,Manhattan,1.0,,POINT (-73.893064 40.824073),36.0,005,015900,1001.0,"Census Tract 159, Bronx County, New York","list(list(c(-73.895861, -73.893901, -73.8932, -73.892005, -73.891615, -73.892836, -73.893874, -73.895881, -73.895861, 40.822631, 40.823643, 40.824008, 40.824723, 40.820985, 40.820974, 40.820979, 40.820992, 40.822631)))",2164.0,328.0,2132.0,28611.0,562.0,135.0,563.0,23675.0,False,
36005015900.0,2023-05-28 18:45:00+00:00,EL128,876702.0,ELE: EL128 - 430 - Simpson St,,UNI,Cancelled,Drive Fault,UNDERINVESTG,Under Investigation,2023-05-29 03:00:00+00:00,,ST230528.txt - 2531,External Monitoring System,EE-LNOUT,2023-05-28 18:55:00+00:00,C,As per Legacy server In Service,430.0,430.0,430.0,217,IRT,Lenox - White Plains Rd,Simpson St,Bx,2 5,Elevated,40.824073,-73.893064,Wakefield - Eastchester,Manhattan,1.0,,POINT (-73.893064 40.824073),36.0,005,015900,1001.0,"Census Tract 159, Bronx County, New York","list(list(c(-73.895861, -73.893901, -73.8932, -73.892005, -73.891615, -73.892836, -73.893874, -73.895881, -73.895861, 40.822631, 40.823643, 40.824008, 40.824723, 40.820985, 40.820974, 40.820979, 40.820992, 40.822631)))",2164.0,328.0,2132.0,28611.0,562.0,135.0,563.0,23675.0,False,
36005015900.0,2023-04-16 21:00:00+00:00,EL128,833314.0,ELE: EL128 - 430 - Simpson St,,UNI,Cancelled,Pit Safety is open (PSW),UNDERINVESTG,Under Investigation,2023-04-17 06:00:00+00:00,,ST230416.txt - 1904,External Monitoring System,EE-LNOUT,2023-04-16 21:09:00+00:00,C,"due to 

E&EM Mittermeier and E&EH perez took machine out , retrived the Airpod and gave it to Booth Agent K.Barkley  Pass #040033",430.0,430.0,430.0,217,IRT,Lenox - White Plains Rd,Simpson St,Bx,2 5,Elevated,40.824073,-73.893064,Wakefield - Eastchester,Manhattan,1.0,,POINT (-73.893064 40.824073),36.0,005,015900,1001.0,"Census Tract 159, Bronx County, New York","list(list(c(-73.895861, -73.893901, -73.8932, -73.892005, -73.891615, -73.892836, -73.893874, -73.895881, -73.895861, 40.822631, 40.823643, 40.824008, 40.824723, 40.820985, 40.820974, 40.820979, 40.820992, 40.822631)))",2164.0,328.0,2132.0,28611.0,562.0,135.0,563.0,23675.0,False,
36005015900.0,2023-05-17 11:59:00+00:00,EL128,865922.0,ELE: EL128 - 430 - Simpson St,,FR,Cancelled,Drive Fault,UNDERINVESTG,Under Investigation,2023-05-17 20:00:00+00:00,,ST230517.txt - 1765,External Monitoring System,EE-LNOUT,2023-05-17 12:33:00+00:00,C,As per Galaxy Client elevator running,430.0,430.0,430.0,217,IRT,Lenox - White Plains Rd,Simpson St,Bx,2 5,Elevated,40.824073,-73.893064,Wakefield - Eastchester,Manhattan,1.0,,POINT (-73.893064 40.824073),36.0,005,015900,1001.0,"Census Tract 159, Bronx County, New York","list(list(c(-73.895861, -73.893901, -73.8932, -73.892005, -73.891615, -73.892836, -73.893874, -73.895881, -73.895861, 40.822631, 40.823643, 40.824008, 40.824723, 40.820985, 40.820974, 40.820979, 40.820992, 40.822631)))",2164.0,328.0,2132.0,28611.0,562.0,135.0,563.0,23675.0,False,
36005015900.0,2023-09-10 06:14:00+00:00,EL127,917398.0,ELE: EL127 - 430 - Simpson St,,UNI,Cancelled,Door Closing/ Top Door Lock Failure,UNDERINVESTG,Under Investigation,2023-09-10 15:00:00+00:00,,ST230910.txt - 529,External Monitoring System,EE-LNOUT,2023-09-10 06:25:00+00:00,C,,430.0,430.0,430.0,217,IRT,Lenox - White Plains Rd,Simpson St,Bx,2 5,Elevated,40.824073,-73.893064,Wakefield - Eastchester,Manhattan,1.0,,POINT (-73.893064 40.824073),36.0,005,015900,1001.0,"Census Tract 159, Bronx County, New York","list(list(c(-73.895861, -73.893901, -73.8932, -73.892005, -73.891615, -73.892836, -73.893874, -73.895881, -73.895861, 40.822631, 40.823643, 40.824008, 40.824723, 40.820985, 40.820974, 40.820979, 40.820992, 40.822631)))",2164.0,328.0,2132.0,28611.0,562.0,135.0,563.0,23675.0,False,
36005015900.0,2023-09-08 07:10:00+00:00,EL128,916800.0,ELE: EL128 - 430 - Simpson St,This elevator is out of service for preventive maintenance,PM,Cancelled,,MAINTENANCE,Maintenance,2023-09-08 15:00:00+00:00,,,Phone,EE-MANOUT,2023-09-08 07:12:00+00:00,C,"E&EM Gao and E&EH Ayala arrived at 0700hrs. Here for monthly PM. OOS @7:10AM
Created: 09/08/2023 07:08
Ayala, Steven (1272993) 
E&EM Gao and E&EH Ayala arrived at 0700hrs. Here for monthly PM.	
Created: 09/08/2023 07:08
Ayala, Steven (1272993)
E&EM Gao and E&EH Ayala out machine OOS for monthly PM at 0710hrs.	
Created: 09/08/2023 07:11
Ayala, Steven (1272993)
E&EM Gao and E&EH Ayala arrived at 7:00am for PM overtime work.	
Created: 09/08/2023 08:29
Gao, Zhuangmei (1200902)
E&EM Gao and E&EH Ayala completed monthly PM. Reset controller, test ran, monitored operation, return to service at 1130hrs.	
Created: 09/08/2023 11:33
Ayala, Steven (1272993) E&EM Gao and E&EH ayla performed a M on EL238 NOT EL128 this outage was created in error",430.0,430.0,430.0,217,IRT,Lenox - White Plains Rd,Simpson St,Bx,2 5,Elevated,40.824073,-73.893064,Wakefield - Eastchester,Manhattan,1.0,,POINT (-73.893064 40.824073),36.0,005,015900,1001.0,"Census Tract 159, Bronx County, New York","list(list(c(-73.895861, -73.893901, -73.8932, -73.892005, -73.891615, -73.892836, -73.893874, -73.895881, -73.895861, 40.822631, 40.823643, 40.824008, 40.824723, 40.820985, 40.820974, 40.820979, 40.820992, 40.822631)))",2164.0,328.0,2132.0,28611.0,562.0,135.0,563.0,23675.0,False,
